DATE,AWEPPUKQ
1919-01-01,3.02
1919-04-01,3.04
1919-07-01,3.16
1919-10-01,3.26
1920-01-01,3.38
1920-04-01,3.59
1920-07-01,3.89
1920-10-01,4.03
1921-01-01,4.04
1921-04-01,3.90
1921-07-01,3.57
1921-10-01,3.35
1922-01-01,3.15
1922-04-01,2.93
1922-07-01,2.76
1922-10-01,2.64
1923-01-01,2.59
1923-04-01,2.57
1923-07-01,2.55
1923-10-01,2.55
1924-01-01,2.55
1924-04-01,2.58
1924-07-01,2.62
1924-10-01,2.63
1925-01-01,2.64
1925-04-01,2.64
1925-07-01,2.64
1925-10-01,2.64
1926-01-01,2.63
1926-04-01,2.63
1926-07-01,2.64
1926-10-01,2.64
1927-01-01,2.65
1927-04-01,2.64
1927-07-01,2.64
1927-10-01,2.64
1928-01-01,2.62
1928-04-01,2.61
1928-07-01,2.61
1928-10-01,2.61
1929-01-01,2.61
1929-04-01,2.61
1929-07-01,2.60
1929-10-01,2.59
1930-01-01,2.59
1930-04-01,2.58
1930-07-01,2.57
1930-10-01,2.57
1931-01-01,2.56
1931-04-01,2.54
1931-07-01,2.54
1931-10-01,2.53
1932-01-01,2.51
1932-04-01,2.51
1932-07-01,2.49
1932-10-01,2.48
1933-01-01,2.47
1933-04-01,2.47
1933-07-01,2.46
1933-10-01,2.46
1934-01-01,2.47
1934-04-01,2.47
1934-07-01,2.46
1934-10-01,2.47
1935-01-01,2.47
1935-04-01,2.48
1935-07-01,2.50
1935-10-01,2.51
1936-01-01,2.54
1936-04-01,2.54
1936-07-01,2.56
1936-10-01,2.58
1937-01-01,2.60
1937-04-01,2.63
1937-07-01,2.66
1937-10-01,2.69
1938-01-01,2.71
1938-04-01,2.73
1938-07-01,2.74
1938-10-01,2.74
1939-01-01,2.73
1939-04-01,2.74
1939-07-01,2.75
1939-10-01,2.82
1940-01-01,2.93
1940-04-01,3.03
1940-07-01,3.13
1940-10-01,3.18
1941-01-01,3.26
1941-04-01,3.30
1941-07-01,3.36
1941-10-01,3.43
1942-01-01,3.49
1942-04-01,3.56
1942-07-01,3.64
1942-10-01,3.68
1943-01-01,3.71
1943-04-01,3.77
1943-07-01,3.79
1943-10-01,3.83
1944-01-01,3.89
1944-04-01,3.93
1944-07-01,3.97
1944-10-01,4.01
1945-01-01,4.03
1945-04-01,4.09
1945-07-01,4.16
1945-10-01,4.21
1946-01-01,4.34
1946-04-01,4.44
1946-07-01,4.54
1946-10-01,4.63
1947-01-01,4.71
1947-04-01,4.80
1947-07-01,4.92
1947-10-01,5.05
1948-01-01,5.12
1948-04-01,5.17
1948-07-01,5.23
1948-10-01,5.29
1949-01-01,5.30
1949-04-01,5.35
1949-07-01,5.39
1949-10-01,5.40
1950-01-01,5.41
1950-04-01,5.43
1950-07-01,5.47
1950-10-01,5.56
1951-01-01,5.72
1951-04-01,5.84
1951-07-01,5.98
1951-10-01,6.16
1952-01-01,6.29
1952-04-01,6.35
1952-07-01,6.45
1952-10-01,6.57
1953-01-01,6.64
1953-04-01,6.67
1953-07-01,6.75
1953-10-01,6.80
1954-01-01,6.86
1954-04-01,6.98
1954-07-01,7.06
1954-10-01,7.13
1955-01-01,7.28
1955-04-01,7.48
1955-07-01,7.56
1955-10-01,7.63
1956-01-01,7.85
1956-04-01,8.09
1956-07-01,8.16
1956-10-01,8.23
1957-01-01,8.27
1957-04-01,8.44
1957-07-01,8.60
1957-10-01,8.69
1958-01-01,8.72
1958-04-01,8.72
1958-07-01,8.84
1958-10-01,9.02
1959-01-01,9.03
1959-04-01,9.03
1959-07-01,9.08
1959-10-01,9.12
1960-01-01,9.25
1960-04-01,9.41
1960-07-01,9.51
1960-10-01,9.65
1961-01-01,9.90
1961-04-01,9.99
1961-07-01,10.09
1961-10-01,10.24
1962-01-01,10.31
1962-04-01,10.45
1962-07-01,10.60
1962-10-01,10.71
1963-01-01,10.71
1963-04-01,10.78
1963-07-01,11.06
1963-10-01,11.23
1964-01-01,11.55
1964-04-01,11.85
1964-07-01,12.02
1964-10-01,12.09
1965-01-01,12.26
1965-04-01,12.54
1965-07-01,12.78
1965-10-01,13.14
1966-01-01,13.30
1966-04-01,13.49
1966-07-01,13.56
1966-10-01,13.63
1967-01-01,13.59
1967-04-01,13.74
1967-07-01,14.20
1967-10-01,14.48
1968-01-01,14.77
1968-04-01,15.03
1968-07-01,15.35
1968-10-01,15.59
1969-01-01,15.84
1969-04-01,16.17
1969-07-01,16.51
1969-10-01,16.90
1970-01-01,17.51
1970-04-01,18.13
1970-07-01,18.76
1970-10-01,19.34
1971-01-01,20.05
1971-04-01,20.45
1971-07-01,20.81
1971-10-01,21.27
1972-01-01,21.97
1972-04-01,22.85
1972-07-01,23.58
1972-10-01,24.59
1973-01-01,25.33
1973-04-01,26.17
1973-07-01,27.16
1973-10-01,27.81
1974-01-01,28.29
1974-04-01,30.23
1974-07-01,32.76
1974-10-01,35.34
1975-01-01,38.02
1975-04-01,39.48
1975-07-01,42.00
1975-10-01,43.78
1976-01-01,45.39
1976-04-01,46.82
1976-07-01,48.27
1976-10-01,49.74
1977-01-01,51.00
1977-04-01,51.54
1977-07-01,52.52
1977-10-01,54.12
1978-01-01,56.19
1978-04-01,58.54
1978-07-01,60.17
1978-10-01,62.02
1979-01-01,63.89
1979-04-01,67.82
1979-07-01,70.44
1979-10-01,74.41
1980-01-01,78.28
1980-04-01,82.37
1980-07-01,86.47
1980-10-01,88.83
1981-01-01,91.53
1981-04-01,93.69
1981-07-01,97.26
1981-10-01,99.77
1982-01-01,102.01
1982-04-01,103.78
1982-07-01,105.87
1982-10-01,107.64
1983-01-01,110.82
1983-04-01,113.08
1983-07-01,115.10
1983-10-01,116.64
1984-01-01,117.88
1984-04-01,119.17
1984-07-01,121.89
1984-10-01,125.12
1985-01-01,127.87
1985-04-01,130.49
1985-07-01,133.36
1985-10-01,135.45
1986-01-01,137.96
1986-04-01,141.05
1986-07-01,143.66
1986-10-01,146.43
1987-01-01,148.33
1987-04-01,151.99
1987-07-01,155.20
1987-10-01,158.64
1988-01-01,161.86
1988-04-01,165.08
1988-07-01,169.24
1988-10-01,174.45
1989-01-01,177.65
1989-04-01,181.43
1989-07-01,185.43
1989-10-01,190.39
1990-01-01,195.25
1990-04-01,201.40
1990-07-01,205.95
1990-10-01,209.89
1991-01-01,212.29
1991-04-01,217.10
1991-07-01,221.50
1991-10-01,224.82
1992-01-01,228.99
1992-04-01,230.33
1992-07-01,233.43
1992-10-01,235.46
1993-01-01,235.71
1993-04-01,237.94
1993-07-01,240.20
1993-10-01,242.04
1994-01-01,244.71
1994-04-01,246.31
1994-07-01,249.09
1994-10-01,251.81
1995-01-01,253.91
1995-04-01,255.04
1995-07-01,256.05
1995-10-01,259.30
